"ID","문A1-1.귀하께서 참여하신 교육 과정은 무엇입니까?","문B1.귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 1)일정 장소에서 강사가 강의하는 강좌","문B1.귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 2)직장 내 직무 연수 프로그램","문B1.귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 3)원격/사이버 강좌 수강","문B1.귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 4)전문적인 세미나 및 워크숍^학습 동아리","문B1.귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 5)기타 강좌 및 개인교습","문B2(개).지난 1년간(2013년 7월 -  2014년 6월)비형식 교육에 참여한 프로그램 수는 몇개 입니까? - (1)학력보완 교육","문B2(개).지난 1년간(2013년 7월 -  2014년 6월)비형식 교육에 참여한 프로그램 수는 몇개 입니까? - (2)성인기초 및 문자해득교육","문B2(개).지난 1년간(2013년 7월 -  2014년 6월)비형식 교육에 참여한 프로그램 수는 몇개 입니까? - (3)직업능력향상교육","문B2(개).지난 1년간(2013년 7월 -  2014년 6월)비형식 교육에 참여한 프로그램 수는 몇개 입니까? - (4)인문교양교육","문B2(개).지난 1년간(2013년 7월 -  2014년 6월)비형식 교육에 참여한 프로그램 수는 몇개 입니까? - (5)문화예술 스포츠 교육","문B2(개).지난 1년간(2013년 7월 -  2014년 6월)비형식 교육에 참여한 프로그램 수는 몇개 입니까? - (6)시민참여교육","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 1)가족^ 친구 또는 직장동료나 상사의 도움이나 조언을 통해 학습한 적이 ?F1","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 2)컴퓨터나 인터넷을 활용해서 새로운 정보나 사실을 학습한 적이 있다","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 3)학습을 목적으로 텔레비전^ 라디오^ 비디오를 활용해서 학습한 적이 있다","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 4)인쇄매체(책이나 전문잡지 등)를 활용해서 학습해 본 적이 있다","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 5)역사적.자연적.산업적 장소를 방문해서 학습한 적이 있다","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 6)도서관 등을 방문해서 학습한 적이 있다","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 7)축제^ 박람회^ 음악회 등을 통해 학습한 적이 있다","문E1.귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 교육과 학습 참여를 목적으로 관련 정보를 찾아본 경험이 있습니까?","문E1-1.귀하께서는 원하시는 정보를 얻으셨습니까?","문F1-(1).학습경험여부 - 1)영어","문F1-(3)-1.공인시험점수-공인시험 경험 여부 - 1)영어","문F1-(1).학습경험여부 - 2)중국어","문F1-(3)-1.공인시험점수-공인시험 경험 여부 - 2)중국어","문F1-(1).학습경험여부 - 3)일본어","문F1-(3)-1.공인시험점수-공인시험 경험 여부 - 3)일본어","문F2.지난 1년 간(2013년 7월 ~ 2014년 6월) 해당 외국어를 얼마나 자주 사용하셨습니까? - 1)영어","문F5-1) 컴퓨터 활용.컴퓨터와 관련된 다음의 각 영역에 대해서 귀하의 활용능력 수준을 답해 주시기 바랍니다.","문F5-2) 워드프로세서(한글^ MS 워드 등) 작성.컴퓨터와 관련된 다음의 각 영역에 대해서 귀하의 활용능력 수준을 답해 주시기 바랍니다.","문F5-3) 엑셀 활용.컴퓨터와 관련된 다음의 각 영역에 대해서 귀하의 활용능력 수준을 답해 주시기 바랍니다.","문G2.귀하께서는 대다수의 사람들이 기회만 있으면 당신을 이용하려고 한다고 생각하십니까 아니면 정당하게 대우해 준다고 생각하십니까?","문G6.귀하께서는 정치에 얼마나 관심을 갖고 계십니까?","문G13.귀하의 건강은 전반적으로 어떠십니까?","문G15-1.평생학습 참여가 삶의 질 향상에 얼마나 도움이 되었습니까? 또는 평생학습에 참여하지 않으셨다면 얼마나 도움이 될 것이라고 생각하십니까?","성별","연령별(10세)","학력별","경활상태","월 가구소득","지역","가중치","형식교육","비형식교육","전체참여자","직업관련비형식참여자","형식학습 투자시간","비형식교육 투여시간(전체)","직업관련 비형식교육 투여시간","평생학습 개인투자 비용(전체)","형식학습 투자비용","비형식교육  개인투자비용(전체)"
100001,,2,2,2,2,2,,,,,,,1,1,1,1,2,1,2,2,,1,1,2,,2,,1,4,4,4,5,3,4,4,1,1,3,2,1,1,8027.1110478,2,2,2,2,,,,,,
10001,5,2,2,2,2,2,,,,,,,2,1,1,2,1,2,2,2,,1,2,2,,1,2,3,3,4,3,5,3,3,3,2,2,3,3,3,2,2192.6431376,1,2,1,2,640,,,240,240,
10002,,2,2,2,2,2,,,,,,,2,1,2,2,2,2,2,1,1,1,2,2,,1,2,4,3,3,2,4,2,3,2,1,2,3,1,3,2,2549.0997456,2,2,2,2,,,,,,
1001,,2,2,2,2,2,,,,,,,1,1,1,1,2,2,2,2,,1,2,2,,2,,1,3,2,1,9,2,4,4,2,2,2,1,3,2,3353.2578175,2,2,2,2,,,,,,
100101,,2,2,2,2,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,2,2,,2,,5,4,4,3,9,3,3,4,1,2,3,1,3,1,3620.1948213,2,1,1,2,,12,,10,,10
100202,,2,2,2,2,2,,,,,,,1,1,1,1,1,2,2,1,1,1,2,2,,2,,1,4,4,4,9,3,5,4,2,2,2,1,2,1,2710.1801053,2,2,2,2,,,,,,
100301,,2,2,2,2,2,,,,,,,1,1,1,1,2,2,1,2,,1,2,2,,2,,1,4,4,2,5,1,3,4,2,1,3,3,3,1,2948.6262629,2,2,2,2,,,,,,
100302,,2,2,2,2,2,,,,,,,1,1,1,2,2,2,1,2,,1,2,2,,2,,1,4,4,4,6,2,3,4,1,2,3,1,3,1,3620.1948213,2,2,2,2,,,,,,
100401,,2,2,2,2,2,,,,,,,1,1,1,2,2,2,2,2,,1,2,2,,2,,1,2,2,1,8,1,2,4,2,4,2,1,2,1,2202.5441044,2,2,2,2,,,,,,
100501,,2,2,2,2,2,,,,,,,1,1,1,2,1,2,1,2,,1,2,2,,2,,1,2,2,1,8,2,3,4,2,4,2,1,4,1,2339.6382012,2,2,2,2,,,,,,
100502,,2,2,2,2,2,,,,,,,1,1,1,1,1,2,1,2,,1,2,2,,2,,1,2,2,1,2,2,3,4,1,4,3,1,4,1,3586.378525,2,2,2,2,,,,,,
100601,,2,2,2,2,2,,,,,,,1,1,1,2,1,2,1,2,,1,2,2,,2,,1,2,1,1,7,3,3,4,1,4,2,3,2,1,5364.7295236,2,2,2,2,,,,,,
100602,,2,2,2,2,2,,,,,,,1,2,1,2,1,2,1,2,,1,2,2,,2,,1,1,1,1,7,1,3,4,2,3,1,1,2,1,6188.0005982,2,2,2,2,,,,,,
100701,,2,2,2,2,1,0,0,0,0,1,0,1,2,1,1,1,2,2,2,,1,2,2,,2,,1,1,1,1,8,1,5,4,2,4,2,3,2,1,4212.4997242,2,1,1,2,,288,,696,,696
100801,,2,2,2,2,2,,,,,,,1,1,1,1,1,2,1,1,1,1,1,2,,1,2,5,4,4,4,9,3,5,4,1,1,3,1,3,1,10397.025131,2,2,2,2,,,,,,
100901,5,2,1,2,2,2,0,0,1,0,0,0,2,1,2,1,1,2,1,1,2,1,2,2,,1,2,3,2,2,2,4,3,4,4,2,2,3,1,4,1,4879.657436,1,1,1,1,80,88,88,106,100,6
100902,,2,1,2,2,2,0,0,1,0,0,0,2,2,2,2,2,2,2,2,,1,2,2,,2,,1,3,3,2,5,3,3,3,1,3,3,1,4,1,6826.5563638,2,1,1,1,,84,84,10,,10
101,,2,2,2,2,2,,,,,,,1,1,1,2,2,2,2,1,1,1,2,2,,2,,1,2,2,2,6,2,4,3,1,3,3,1,2,1,2677.7748551,2,2,2,2,,,,,,
101001,,2,2,2,2,2,,,,,,,1,1,1,1,1,2,1,2,,1,1,2,,2,,5,4,4,4,10,2,3,4,2,1,3,1,3,1,5308.977821,2,2,2,2,,,,,,
10101,,2,2,2,2,2,,,,,,,2,1,1,1,1,1,2,1,1,1,2,2,,2,,5,2,3,2,8,4,3,5,2,2,3,3,2,2,2604.6401584,2,2,2,2,,,,,,
10102,,2,2,2,2,2,,,,,,,2,1,2,1,2,1,1,1,2,1,2,2,,2,,3,4,4,4,4,4,3,4,1,2,2,2,2,2,3778.5383177,2,2,2,2,,,,,,
101102,,2,1,2,2,2,0,0,1,0,0,0,1,1,1,1,1,1,1,2,,1,2,2,,1,2,5,4,3,3,7,2,4,3,2,1,3,1,4,1,11564.861966,2,1,1,1,,100,100,10,,10
101201,,2,2,2,2,1,0,0,0,0,1,0,1,1,1,2,2,2,2,2,,1,2,2,,2,,1,2,1,1,8,3,4,4,2,3,2,1,4,2,3409.8385163,2,1,1,2,,12,,5,,5
101202,,2,1,2,2,2,0,0,1,0,0,0,1,1,1,1,2,1,2,2,,1,2,2,,2,,1,4,4,4,3,2,4,4,1,3,2,1,4,2,4635.3955685,2,1,1,1,,16,16,0,,0
101301,,2,2,2,2,2,,,,,,,2,2,1,2,2,2,2,1,2,2,,2,,2,,1,1,1,1,2,1,3,4,1,3,1,1,3,3,4418.7527182,2,2,2,2,,,,,,
101401,,2,2,2,2,2,,,,,,,1,1,1,1,1,1,1,2,,1,2,2,,1,2,1,2,2,2,9,2,4,4,2,2,3,3,4,2,3418.7941479,2,2,2,2,,,,,,
101402,,2,1,2,2,1,0,0,1,0,1,0,1,1,1,1,2,1,2,2,,1,2,2,,2,,1,3,3,3,8,3,4,4,1,2,3,1,4,2,4959.6273966,2,1,1,1,,86,56,0,,0
101501,,2,1,2,2,2,0,0,1,0,0,0,2,1,1,1,2,2,2,2,,1,2,2,,2,,1,4,4,4,8,4,3,2,1,2,3,1,3,2,4959.6273966,2,1,1,1,,88,88,6,,6
101502,,2,2,2,2,2,,,,,,,2,1,1,1,2,2,2,1,2,1,2,2,,2,,1,3,3,2,9,3,2,4,2,2,3,3,3,2,3418.7941479,2,2,2,2,,,,,,
101601,,2,2,2,2,2,,,,,,,2,1,1,1,1,1,1,2,,1,2,2,,2,,1,2,2,2,8,3,5,5,2,2,2,3,4,2,2940.8495805,2,2,2,2,,,,,,
101602,,2,1,2,2,2,0,0,1,0,0,0,1,1,1,1,1,1,1,2,,1,2,2,,2,,5,4,4,4,8,4,5,4,1,3,3,1,4,2,4635.3955685,2,1,1,1,,90,90,6,,6
101701,,2,1,2,2,2,0,0,2,0,0,0,1,1,1,1,1,1,1,2,,1,2,2,,2,,5,4,4,4,5,2,4,4,2,2,3,1,4,2,3418.7941479,2,1,1,1,,210,210,10,,10
101702,,2,2,2,2,2,,,,,,,1,1,1,1,1,1,1,2,,1,1,2,,2,,5,4,4,4,5,4,5,4,1,2,3,1,4,2,3974.5853501,2,2,2,2,,,,,,
101801,,2,2,2,2,2,,,,,,,2,1,1,2,1,1,1,2,,1,2,2,,2,,1,2,2,2,5,2,4,5,2,2,3,1,4,2,2940.8495805,2,2,2,2,,,,,,
101802,,2,2,2,2,1,0,0,0,0,1,0,2,1,1,2,1,1,1,2,,1,2,2,,2,,1,2,2,2,5,2,3,4,1,2,3,1,4,2,3974.5853501,2,1,1,2,,48,,340,,340
101901,,2,1,2,2,2,0,0,3,0,0,0,1,1,1,1,1,1,1,2,,1,2,2,,2,,5,4,4,4,5,4,4,5,1,2,3,1,3,2,3974.5853501,2,1,1,1,,286,286,10,,10
101902,,2,1,2,2,2,0,0,2,0,0,0,1,1,1,1,1,1,1,2,,1,2,2,,1,2,2,2,2,2,8,3,5,4,2,2,3,3,3,2,2940.8495805,2,1,1,1,,94,94,350,,350
102001,,2,1,2,2,2,0,0,2,0,0,0,1,1,1,1,2,2,2,2,,1,2,2,,1,2,5,4,4,4,8,2,5,5,2,1,3,1,4,2,3168.5328361,2,1,1,1,,156,156,12,,12
102002,,2,2,2,2,2,,,,,,,2,1,1,1,1,1,1,2,,1,2,2,,1,2,1,2,2,2,5,3,4,3,2,2,3,3,4,2,3418.7941479,2,2,2,2,,,,,,
10201,,2,2,2,2,2,,,,,,,1,1,1,1,1,2,2,1,1,1,2,2,,2,,1,1,1,1,10,2,3,5,2,3,2,1,2,2,2418.3708344,2,2,2,2,,,,,,
10202,,2,2,2,2,2,,,,,,,1,1,1,1,2,1,1,1,1,1,2,2,,2,,1,4,4,4,5,2,3,3,1,4,3,1,2,2,2180.5517618,2,2,2,2,,,,,,
102101,,2,2,2,2,2,,,,,,,1,1,1,1,1,1,1,2,,1,2,2,,1,2,5,3,3,3,8,3,5,4,2,1,3,3,3,2,3168.5328361,2,2,2,2,,,,,,
102102,,2,1,2,2,2,0,0,1,0,0,0,1,1,1,1,1,1,1,2,,1,2,1,2,1,2,1,4,4,4,9,4,1,3,1,1,3,1,3,2,6138.8021521,2,1,1,1,,90,90,6,,6
102201,,2,1,2,2,2,0,0,1,0,0,0,1,1,1,2,1,1,1,2,,1,2,2,,2,,1,2,2,2,9,3,3,4,2,2,3,1,4,2,2940.8495805,2,1,1,1,,10,10,0,,0
102202,,2,1,2,2,1,0,0,1,1,0,0,2,1,1,1,1,1,1,2,,1,2,2,,1,2,5,3,3,3,8,3,5,4,1,2,3,1,4,2,4959.6273966,2,1,1,1,,356,56,0,,0
102301,,2,1,2,2,2,0,0,1,0,0,0,1,2,1,2,2,2,2,1,2,1,2,2,,2,,1,2,2,2,7,2,4,4,2,1,2,1,4,3,3550.9172678,2,1,1,1,,76,76,10,,10
102302,,2,1,2,2,2,0,0,1,0,0,0,1,2,1,2,2,2,2,2,,1,2,2,,2,,1,3,3,3,5,3,4,4,1,2,2,1,4,3,5558.1644488,2,1,1,1,,16,16,0,,0
102401,4,2,2,2,2,2,,,,,,,2,1,1,1,2,2,2,2,,1,2,2,,2,,1,3,2,2,5,3,3,4,2,3,2,1,4,3,3821.344166,1,2,1,2,72,,,100,100,
102402,,2,2,2,2,2,,,,,,,2,2,1,2,2,2,2,1,2,1,2,2,,2,,1,2,2,2,5,2,3,4,1,3,3,1,4,3,4418.7527182,2,2,2,2,,,,,,
102501,,2,2,2,2,2,,,,,,,2,2,1,2,2,2,2,2,,1,2,2,,2,,1,1,1,1,3,3,4,4,2,2,2,1,4,3,3295.7567738,2,2,2,2,,,,,,
102502,,2,2,2,2,2,,,,,,,1,2,1,2,2,2,2,2,,1,2,1,2,2,,5,3,3,3,8,3,4,4,1,2,2,1,4,3,4454.2456974,2,2,2,2,,,,,,
102601,,2,1,2,2,2,0,0,1,0,0,0,2,2,1,2,2,2,2,2,,2,,2,,2,,1,1,1,1,5,2,3,4,1,4,1,1,2,3,3324.0125016,2,1,1,1,,10,10,0,,0
102602,,2,2,2,2,1,0,0,0,0,1,0,2,2,1,2,2,2,2,2,,1,2,2,,2,,1,1,1,1,7,2,4,4,2,4,2,3,2,3,2828.8068348,2,1,1,2,,48,,10,,10
102701,,2,1,2,2,2,0,0,1,0,0,0,2,2,1,2,2,2,2,2,,2,,2,,2,,1,1,1,1,5,3,4,4,1,4,1,1,4,3,3324.0125016,2,1,1,1,,130,130,10,,10
102702,,2,2,2,2,2,,,,,,,2,2,1,2,2,2,2,2,,2,,2,,2,,1,1,1,1,4,3,4,4,2,4,1,1,4,3,2828.8068348,2,2,2,2,,,,,,
102703,,2,1,2,2,2,0,0,1,0,0,0,2,2,1,2,2,2,2,2,,1,2,2,,2,,1,2,2,2,8,4,4,4,1,1,3,1,4,3,6879.6442054,2,1,1,1,,16,16,0,,0
102802,,2,1,2,2,2,0,0,1,0,0,0,1,2,1,2,2,2,2,1,2,1,2,2,,2,,1,2,2,2,5,3,4,4,1,2,2,1,3,3,5558.1644488,2,1,1,1,,16,16,0,,0
102901,,2,2,2,2,2,,,,,,,2,2,1,2,2,2,2,2,,1,2,2,,2,,1,1,1,1,4,3,4,4,1,2,2,1,3,3,4454.2456974,2,2,2,2,,,,,,
102902,,2,2,2,2,2,,,,,,,2,2,1,2,2,2,2,2,,1,2,2,,2,,1,1,1,1,8,1,4,4,2,4,2,3,3,3,2523.1354542,2,2,2,2,,,,,,
103001,,2,2,2,2,2,,,,,,,2,1,1,2,2,2,2,2,,1,2,2,,2,,1,2,2,2,7,3,3,4,2,2,3,3,3,3,3295.7567738,2,2,2,2,,,,,,
103002,,2,1,2,2,2,0,0,1,0,0,0,2,2,1,2,2,2,2,2,,1,2,2,,2,,1,3,3,3,4,3,4,4,1,1,2,1,3,3,4510.9774006,2,1,1,1,,16,16,0,,0
10301,,2,2,2,2,2,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,,2,,5,4,3,2,,3,3,4,2,2,3,1,2,2,2240.513639,2,2,2,2,,,,,,
103101,,2,2,2,2,1,0,0,0,0,2,0,2,1,2,1,1,2,2,2,,1,2,2,,1,2,1,2,1,1,9,2,5,5,2,3,3,3,4,1,1977.4504314,2,1,1,2,,144,,84,,84
103201,,2,2,2,2,2,,,,,,,2,1,1,1,1,1,1,1,1,1,2,2,,2,,4,3,3,1,7,4,3,4,2,2,3,3,4,1,1768.6918358,2,2,2,2,,,,,,
103301,,2,2,2,2,1,0,0,0,0,1,0,2,1,1,1,1,2,1,2,,1,1,2,,2,,2,3,3,1,6,3,4,4,1,2,3,1,4,1,2311.1732229,2,1,1,2,,288,,16,,16
103302,,2,2,2,2,2,,,,,,,2,2,2,1,1,2,1,2,,1,2,2,,2,,1,3,3,2,9,3,4,4,2,2,3,3,4,1,1690.4297715,2,2,2,2,,,,,,
103401,,2,2,2,2,1,0,0,0,0,1,0,2,1,1,1,1,1,1,1,1,1,2,2,,1,2,1,2,2,1,10,2,3,3,2,4,3,3,4,1,1526.87232,2,1,1,2,,240,,60,,60
103404,,2,2,2,2,1,0,0,0,0,1,0,2,1,2,1,2,2,2,2,,1,2,2,,2,,2,2,2,2,8,2,5,4,2,1,3,1,4,1,4191.8264159,2,1,1,2,,140,,70,,70
103501,,2,2,2,2,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,2,,2,,4,4,4,4,10,2,3,4,2,1,3,1,4,1,1924.3042881,2,1,1,2,,12,,13,,13
103601,,1,1,2,2,2,0,0,2,0,0,0,1,1,1,1,1,2,1,1,1,1,1,2,,1,1,4,4,2,2,8,3,1,4,1,4,3,1,3,1,2340.5080736,2,1,1,1,,25,25,0,,0
103701,,2,2,2,2,1,0,0,0,0,1,0,2,1,1,1,1,2,1,1,1,1,2,2,,2,,1,1,2,1,9,2,3,4,2,3,3,3,4,1,1977.4504314,2,1,1,1,,28,28,150,,150
103702,,1,2,1,1,2,0,0,0,2,0,0,1,1,1,1,1,2,2,1,1,1,1,2,,2,,2,3,3,3,6,3,3,3,1,3,3,1,4,1,2474.3692903,2,1,1,1,,444,444,36,,36
103801,,2,2,2,2,2,,,,,,,2,2,1,1,1,2,1,1,1,1,2,2,,2,,2,1,1,1,10,3,5,5,2,4,2,3,4,1,1437.403281,2,2,2,2,,,,,,
103803,6,1,2,1,1,2,0,0,1,1,0,0,1,1,1,1,2,1,2,1,1,1,1,2,,1,2,4,4,4,2,8,2,3,5,2,2,3,3,4,1,1690.4297715,1,1,1,1,400,246,230,105,0,105
103901,,2,2,2,2,2,,,,,,,1,1,2,2,2,2,2,2,,1,2,2,,1,2,3,3,2,2,6,2,4,4,1,2,2,1,2,1,3487.8462694,2,2,2,2,,,,,,
103902,,2,2,2,2,2,,,,,,,1,2,2,1,1,2,2,2,,1,2,2,,2,,3,2,2,1,7,2,3,4,2,2,2,3,2,1,1845.4580626,2,2,2,2,,,,,,
104001,,2,2,2,2,2,,,,,,,1,1,1,2,2,2,2,1,1,1,2,2,,1,2,3,3,3,2,7,2,3,4,2,3,2,1,3,1,1752.9189375,2,2,2,2,,,,,,
10401,,2,1,2,2,2,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,,2,,1,1,1,1,6,2,3,4,1,4,2,1,3,2,2180.5517618,2,1,1,1,,16,16,12,,12
104101,,2,2,2,2,2,,,,,,,1,2,2,2,2,2,2,2,,2,,2,,2,,1,1,1,1,7,2,4,4,2,4,1,3,3,1,1032.0380223,2,2,2,2,,,,,,
104201,,2,2,2,2,2,,,,,,,1,1,2,2,2,2,2,2,,1,2,2,,2,,2,1,1,1,6,3,2,4,1,4,2,2,1,1,1304.1270638,2,2,2,2,,,,,,
104301,,2,2,2,2,2,,,,,,,1,2,2,2,2,2,2,2,,1,2,2,,2,,2,1,1,1,7,3,3,4,2,3,2,1,4,1,1529.9196793,2,2,2,2,,,,,,
104401,,2,2,2,2,2,,,,,,,2,2,2,2,2,2,2,2,,1,2,2,,2,,1,1,1,1,7,2,3,4,2,4,2,3,2,1,1300.2423577,2,2,2,2,,,,,,
104501,,2,2,2,2,2,,,,,,,1,2,2,2,2,2,2,2,,1,2,2,,2,,2,1,1,1,7,2,2,3,2,4,1,3,2,1,1300.2423577,2,2,2,2,,,,,,
104601,,2,2,2,2,2,,,,,,,2,2,2,2,2,2,2,2,,2,,2,,2,,1,1,1,1,7,3,3,3,2,4,1,3,2,1,1032.0380223,2,2,2,2,,,,,,
104701,,2,2,2,2,2,,,,,,,2,2,2,2,2,2,2,2,,1,2,2,,2,,2,2,2,1,5,2,2,4,2,3,2,1,2,1,1529.9196793,2,2,2,2,,,,,,
104801,,2,1,2,2,2,0,0,1,0,0,0,1,1,2,2,1,2,2,1,1,1,2,1,2,1,2,2,3,3,3,8,2,4,4,2,2,2,1,3,1,1845.4580626,2,1,1,1,,20,20,0,,0
104901,,2,2,2,2,2,,,,,,,2,2,1,2,2,2,2,2,,1,2,2,,2,,2,1,1,1,7,3,2,3,2,4,2,3,1,1,1300.2423577,2,2,2,2,,,,,,
105001,,2,2,2,2,2,,,,,,,2,2,2,1,2,2,2,2,,1,2,2,,2,,2,1,1,1,7,2,3,4,1,4,1,1,3,1,1261.5411358,2,2,2,2,,,,,,
105002,,2,2,2,2,2,,,,,,,2,2,2,2,2,2,2,2,,1,2,2,,2,,2,1,1,1,7,3,3,3,1,3,1,1,3,1,2511.0796719,2,2,2,2,,,,,,
10501,,1,2,1,2,2,0,0,0,2,0,0,2,1,1,1,1,1,1,1,1,1,1,2,,2,,1,2,3,2,8,3,4,4,2,2,3,3,3,1,1829.9806162,2,1,1,2,,102,,12,,12
105101,,1,2,2,2,2,0,0,0,0,1,0,2,2,2,2,2,2,1,1,1,2,,2,,2,,1,1,1,1,8,2,2,3,2,4,1,3,2,1,1840.4934464,2,1,1,2,,950,,32,,32
105201,,2,2,2,2,2,,,,,,,2,2,2,1,2,1,1,2,,1,2,2,,1,2,1,3,2,2,9,2,4,4,1,3,3,1,3,1,2832.9573241,2,2,2,2,,,,,,
105202,,2,2,2,2,2,,,,,,,2,2,2,1,2,1,1,2,,1,2,2,,1,2,1,2,2,2,9,2,4,4,2,2,3,1,3,1,2256.20461,2,2,2,2,,,,,,
105302,,2,2,2,2,2,,,,,,,2,2,2,2,2,2,1,2,,2,,2,,2,,1,1,1,1,7,2,3,3,2,4,1,3,2,1,1606.4843412,2,2,2,2,,,,,,
105401,,1,2,2,2,2,0,0,1,0,0,0,2,1,2,2,2,2,1,2,,1,2,2,,2,,1,1,1,1,6,2,4,4,1,1,2,1,3,1,4835.6969667,2,1,1,1,,90,90,6,,6
105402,,2,2,1,2,2,0,0,1,0,0,0,1,1,1,1,1,2,1,2,,1,2,2,,1,2,4,4,3,1,9,2,4,4,2,1,3,1,3,1,4202.7420453,2,1,1,1,,95,95,7,,7
105502,,2,2,2,2,2,,,,,,,2,2,2,1,2,1,1,2,,1,2,2,,2,,1,1,1,1,6,2,3,3,2,3,2,3,3,1,2607.042745,2,2,2,2,,,,,,
105503,,2,2,2,2,2,,,,,,,1,1,2,1,1,2,1,2,,1,2,2,,1,2,4,3,2,3,8,1,4,4,2,1,3,1,3,1,4202.7420453,2,2,2,2,,,,,,
105601,,2,2,2,2,2,,,,,,,2,2,2,2,2,2,1,2,,2,,2,,2,,1,1,1,1,6,1,3,3,2,3,1,1,3,1,2607.042745,2,2,2,2,,,,,,
105602,3,1,2,2,2,2,0,0,3,0,0,0,1,1,2,1,2,1,1,2,,1,2,2,,1,2,3,3,2,1,6,1,4,3,1,1,2,1,3,1,5111.1035245,1,1,1,1,480,104,104,400,400,0
105701,,2,2,2,2,2,,,,,,,1,1,2,1,2,2,2,2,,1,2,2,,2,,3,2,2,1,5,2,4,4,1,3,2,1,2,1,2832.9573241,2,2,2,2,,,,,,
105801,,2,2,2,2,2,,,,,,,2,2,2,2,2,2,1,2,,1,2,2,,2,,1,1,1,1,7,3,2,3,1,3,1,1,4,1,2660.4957358,2,2,2,2,,,,,,
105802,,2,2,2,2,2,,,,,,,2,2,2,2,2,2,1,2,,1,2,2,,2,,1,1,1,1,5,3,3,3,2,3,1,1,4,1,2607.042745,2,2,2,2,,,,,,
105803,,2,2,2,2,2,,,,,,,1,2,2,1,2,2,2,2,,1,2,2,,1,2,1,1,1,1,7,2,4,3,2,1,2,1,4,1,4202.7420453,2,2,2,2,,,,,,
105804,,2,2,2,2,2,,,,,,,1,1,2,2,2,2,1,2,,1,2,2,,2,,3,4,4,4,7,2,3,4,1,1,3,1,4,1,5111.1035245,2,2,2,2,,,,,,
105901,,2,2,2,2,2,,,,,,,2,2,2,2,2,2,2,2,,1,2,2,,2,,1,1,1,1,5,2,1,3,2,4,1,3,1,1,1840.4934464,2,2,2,2,,,,,,
106001,,2,2,2,2,2,,,,,,,2,1,1,1,1,1,1,1,1,1,2,2,,2,,1,3,3,1,5,1,5,3,2,2,3,3,3,1,2382.758516,2,2,2,2,,,,,,
10601,,2,2,1,2,2,0,0,1,0,0,0,1,1,1,1,1,1,2,2,,1,2,2,,2,,2,3,4,2,10,1,5,4,2,1,3,3,3,1,4337.0817529,2,1,1,1,,100,100,18,,18
106102,,2,2,2,2,2,,,,,,,1,1,1,1,1,1,1,1,1,1,2,1,2,2,,2,3,2,1,5,4,3,3,2,4,2,1,3,1,2056.9824261,2,2,2,2,,,,,,
106201,,2,1,2,2,2,0,0,1,0,0,0,2,1,1,1,2,2,2,2,,1,2,2,,2,,1,1,1,1,6,1,3,2,2,3,3,1,2,2,1628.262183,2,1,1,1,,16,16,10,,10
106202,,2,2,2,2,2,,,,,,,1,2,1,1,2,2,2,2,,1,2,2,,2,,1,1,1,1,5,3,3,1,1,4,3,1,2,2,1274.677768,2,2,2,2,,,,,,
106301,2,2,1,1,2,2,0,0,2,0,0,0,1,1,1,1,2,2,2,2,,1,2,2,,1,2,2,2,2,2,8,3,4,4,2,2,2,1,4,2,2221.2473219,1,1,1,1,800,100,100,450,450,0
106302,,2,1,2,1,2,0,0,2,0,0,0,1,1,1,1,2,2,2,2,,1,2,2,,2,,2,3,2,2,5,3,3,4,1,2,3,1,4,2,2714.0750454,2,1,1,1,,24,24,0,,0
